date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:25:17	136/136	---M--	200	added ('OK')	application/json	etag:W/%2288-nbGy/j5wTpk5q+tq4xs3SKajYWA%22	https://vajira-api.vercel.app/movie/firemovie/search?text=deadpool	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/firemovie/search50e9.json	(from https://vajira-api.vercel.app/movie)
01:25:19	136/136	---M--	200	added ('OK')	application/json	etag:W/%2288-nbGy/j5wTpk5q+tq4xs3SKajYWA%22	https://vajira-api.vercel.app/movie/firemovie/movie?url=https://firemovieshub.com/movies/deadpool-wolverine-2024-%e0%b7%83%e0%b7%92%e0%b6%82%e0%b7%84%e0%b6%bd-%e0%b6%8b%e0%b6%b4%e0%b7%83%e0%b7%92%e0%b6%bb%e0%b7%90%e0%b7%83%e0%b7%92-%e0%b7%83%e0%b6%b8%e0%b6%9f/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/firemovie/moviee99d.json	(from https://vajira-api.vercel.app/movie)
01:25:20	136/136	---M--	200	added ('OK')	application/json	etag:W/%2288-nbGy/j5wTpk5q+tq4xs3SKajYWA%22	https://vajira-api.vercel.app/movie/firemovie/tvshow?url=https://firemovieshub.com/tvshows/loki/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/firemovie/tvshow9162.json	(from https://vajira-api.vercel.app/movie)
01:25:21	136/136	---M--	200	added ('OK')	application/json	etag:W/%2288-nbGy/j5wTpk5q+tq4xs3SKajYWA%22	https://vajira-api.vercel.app/movie/firemovie/episode?url=https://firemovieshub.com/episodes/loki-1x1/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/firemovie/episode5b24.json	(from https://vajira-api.vercel.app/movie)
01:25:22	159/159	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:55:22%20GMT	https://vajira-api.vercel.app/movie/cinesubz/movie?url=https://cinesubz.co/movies/lucky-baskhar-2024-sinhala-subtitles/	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/movie/cinesubz/movie.415a75.delayed	(from https://vajira-api.vercel.app/movie)
01:25:24	3469/3469	---MCZ	200	added ('OK')	application/json	etag:W/%22d8d-5eCpW9IGz0I0/mL0Q38Qlqo8CaE%22	https://vajira-api.vercel.app/news/derana	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/news/derana.json	(from https://vajira-api.vercel.app/news)
01:25:28	16081/16081	---MCZ	200	added ('OK')	application/json	etag:W/%223ed1-f+LcTG6Akoxtv5V0pGc3cmT8qpE%22	https://vajira-api.vercel.app/news/sirasa	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/news/sirasa.json	(from https://vajira-api.vercel.app/news)
01:25:29	4129/4129	---MCZ	200	added ('OK')	application/json	etag:W/%221021-Oo/iUFQeBXvnV3YpzJWl0/udewc%22	https://vajira-api.vercel.app/news/hiru	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/news/hiru.json	(from https://vajira-api.vercel.app/news)
01:25:31	22514/22514	---MCZ	200	added ('OK')	application/json	etag:W/%2257f2-lySvNGKWVId3XCEOiNC8YmYH1Do%22	https://vajira-api.vercel.app/news/bbc	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/news/bbc.json	(from https://vajira-api.vercel.app/news)
01:25:33	3927/3927	---MCZ	200	added ('OK')	application/json	etag:W/%22f57-vTkZ4LQgClJ4edViFsbnSf1QaSk%22	https://vajira-api.vercel.app/news/lankadeepa	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/news/lankadeepa.json	(from https://vajira-api.vercel.app/news)
01:25:34	2089/2089	---MCZ	200	added ('OK')	application/json	etag:W/%22829-RQriykv8zjvlkbMDorSoiy7ggtI%22	https://vajira-api.vercel.app/news/itn	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/news/itn.json	(from https://vajira-api.vercel.app/news)
01:25:36	67/67	---M--	200	added ('OK')	text/plain	etag:%226290c8db-43%22	https://ferdiz-afk.github.io/robots.txt		(from https://ferdiz-afk.github.io/Nice/assets/vendor/bootstrap-icons/bootstrap-icons.css)
01:25:38	912/912	U-----	200	untouched ('OK')	application/json	etag:W/%22390-oJ264U6IhFgrOEXlhxwUE3+KJGw%22	https://vajira-api.vercel.app/news/siyatha	/storage/emulated/0/HTTrack/Websites/Vajira/vajira-api.vercel.app/news/siyatha.json	(from https://vajira-api.vercel.app/news)
